,timestamp,side,size,price
2023-10-13 10:47:22,,sell,0.15539812,26812.8
2023-10-13 10:47:30,,sell,0.372862,26810.4
2023-10-13 10:47:30,,sell,0.15541203,26810.4
2023-10-13 10:51:44,,sell,0.13929525,26775.9
2023-10-13 10:51:44,,sell,0.13171055,26773.3
2023-10-13 10:51:44,,sell,0.15557102,26776.0
2023-10-13 10:51:44,,sell,0.109,26771.9
2023-10-13 10:51:56,,buy,0.1032,26772.0
2023-10-13 10:52:01,,buy,0.18686699,26772.0
2023-10-13 10:52:11,,sell,0.16020528,26772.7
2023-10-13 10:53:17,,buy,0.11196551,26767.2
2023-10-13 10:53:21,,sell,0.19303183,26754.7
2023-10-13 10:53:21,,sell,0.15566402,26753.8
2023-10-13 10:53:21,,sell,0.15566402,26753.6
2023-10-13 10:53:21,,sell,0.1400405,26751.9
2023-10-13 10:53:21,,sell,0.15566402,26752.2
2023-10-13 10:53:22,,sell,0.10422817,26743.0
2023-10-13 10:53:25,,buy,0.60454047,26753.5
2023-10-13 10:53:25,,buy,0.15088971,26753.5
2023-10-13 10:53:49,,buy,0.10300974,26756.1
2023-10-13 10:53:49,,buy,0.13354652,26757.4
2023-10-13 10:54:36,,buy,0.12729961,26767.6
2023-10-13 10:54:51,,buy,0.11775419,26770.3
2023-10-13 10:54:54,,buy,0.22958116,26770.9
2023-10-13 10:54:54,,buy,0.27251521,26771.0
2023-10-13 10:54:54,,buy,0.28152566,26771.0
2023-10-13 10:54:54,,buy,0.37373398,26771.0
2023-10-13 10:54:54,,buy,0.12087523,26771.0
2023-10-13 10:54:54,,buy,0.12956897,26771.0
2023-10-13 10:54:55,,sell,0.15564192,26771.6
2023-10-13 10:54:55,,sell,0.10913103,26771.6
2023-10-13 10:54:55,,sell,0.15803984,26771.6
2023-10-13 10:54:55,,sell,0.23301683,26771.6
2023-10-13 10:56:31,,buy,0.10756216,26765.7
2023-10-13 10:57:59,,sell,0.1132005,26749.0
2023-10-13 10:59:16,,buy,0.2,26744.9
2023-10-13 11:00:04,,buy,0.12875335,26752.2
2023-10-13 11:00:33,,buy,0.1400405,26756.6
2023-10-13 11:00:33,,buy,0.19614372,26757.7
2023-10-13 11:00:33,,buy,0.373746,26758.2
2023-10-13 11:00:33,,buy,0.11589417,26758.6
2023-10-13 11:00:48,,sell,0.15560528,26758.8
2023-10-13 11:01:17,,sell,0.15579265,26742.9
2023-10-13 11:01:17,,sell,0.11037031,26742.8
